system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
sqlite,1,True,,2 GB,3,0.729554,0.591994,0.569371,0.639089,0.554394,0.508543,1.03662,0.501164,0.470091,0.468457,0.809769,0.802672,0.674371
sqlite,1,True,,5 GB,1,0.713438,0.566963,0.554818,0.627275,0.550941,0.51091,1.0241,0.489582,0.472677,0.46793,0.818396,0.78413,0.678997
sqlite,1,True,,5 GB,2,0.724359,0.572604,0.551699,0.626309,0.540135,0.516422,1.02907,0.495257,0.464611,0.458828,0.845936,0.790484,0.667866
sqlite,1,True,,5 GB,3,0.718733,0.57092,0.547389,0.618175,0.532274,0.50428,1.01452,0.482827,0.463282,0.461658,0.804334,0.775903,0.65874
sqlite,2,False,,100 MB,1,1.62843,1.4693,1.38045,8.61358,8.48214,8.16237,4.45384,3.16616,3.26709,3.31796,4.6959,3.31234,3.14698
sqlite,2,False,,100 MB,2,1.61135,1.47613,1.38435,8.61373,8.54853,8.17201,4.46347,3.16746,3.29938,3.27847,4.75547,3.29527,3.13942
sqlite,2,False,,100 MB,3,1.60194,1.47022,1.37898,8.62387,8.45118,8.16847,4.45163,3.17828,3.29423,3.26973,4.67152,3.28651,3.13951
sqlite,2,False,,200 MB,1,1.60342,1.47439,1.38136,8.61292,8.54842,8.27146,4.45141,3.16945,3.28688,3.26956,4.7053,3.27975,3.112
sqlite,2,False,,200 MB,2,1.60316,1.47289,1.38146,8.63282,8.46536,8.18104,4.43941,3.16906,3.28809,3.26965,4.74335,3.29,3.12245
sqlite,2,False,,200 MB,3,1.60676,1.4772,1.38489,8.5539,8.47169,8.16847,4.44619,3.16905,3.29238,3.27791,4.70513,3.26764,3.11535
sqlite,2,False,,500 MB,1,1.61938,1.50164,1.40628,8.55668,8.71585,8.37873,4.44519,3.20191,3.54603,3.53978,4.73894,3.30812,3.12537
sqlite,2,False,,500 MB,2,1.63228,1.51607,1.42279,8.53987,8.63388,8.34655,4.44747,3.2025,3.33205,3.31657,4.74379,3.31444,3.13299
sqlite,2,False,,500 MB,3,1.62083,1.50823,1.4157,8.54003,8.64648,8.35891,4.45343,3.19682,3.33579,3.31846,4.76387,3.31693,3.1313
sqlite,2,False,,1 GB,1,1.4314,1.28472,1.19303,8.84871,8.64153,8.3489,4.22365,2.92641,3.06763,3.03608,4.41266,3.0022,2.83017
sqlite,2,False,,1 GB,2,1.41747,1.2769,1.18161,8.83241,8.64191,8.35822,4.21771,2.97999,3.08717,3.07168,4.42505,2.98478,2.81444
sqlite,2,False,,1 GB,3,1.41147,1.26753,1.20262,8.83704,8.63593,8.34332,4.23098,2.96421,3.0887,3.07489,4.43271,3.00106,2.82847
sqlite,2,False,,2 GB,1,1.41416,1.27663,1.18756,8.1486,7.98758,7.70662,4.09279,2.81427,2.95456,2.93715,4.2124,2.91682,2.75285
