system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
duckdb,1,,1,100 MB,2,0.356928,0.319543,0.294636,0.444211,0.330601,0.272086,0.439426,0.222771,0.196384,0.188697,0.645184,0.666257,0.385941
duckdb,1,,1,100 MB,3,0.348211,0.310138,0.288861,0.424756,0.317132,0.263688,0.421362,0.216088,0.196644,0.190644,0.691364,0.693872,0.402736
duckdb,1,,1,200 MB,1,0.34651,0.327839,0.301026,0.408872,0.294877,0.275193,0.436886,0.224519,0.202684,0.199233,0.620633,0.609567,0.328746
duckdb,1,,1,200 MB,2,0.326416,0.310119,0.288938,0.391297,0.28194,0.264472,0.418067,0.216412,0.194727,0.189229,0.597018,0.584967,0.314817
duckdb,1,,1,200 MB,3,0.325359,0.319514,0.294113,0.402618,0.286629,0.266297,0.427296,0.21992,0.197825,0.193725,0.603553,0.592978,0.323355
duckdb,1,,1,500 MB,1,0.306247,0.321464,0.300197,0.352407,0.300487,0.277129,0.422019,0.224654,0.200732,0.197223,0.596733,0.586799,0.313543
duckdb,1,,1,500 MB,2,0.293087,0.308166,0.290304,0.336679,0.28834,0.265761,0.403086,0.21588,0.194776,0.189348,0.57776,0.606162,0.321148
duckdb,1,,1,500 MB,3,0.297944,0.312038,0.295838,0.349766,0.29421,0.269842,0.421508,0.222692,0.199071,0.192352,0.58871,0.600678,0.319917
duckdb,1,,1,1 GB,1,0.303614,0.319478,0.299203,0.339554,0.291976,0.262311,0.405624,0.215801,0.195052,0.191738,0.577489,0.585325,0.312926
duckdb,1,,1,1 GB,2,0.294606,0.310456,0.290277,0.334532,0.286452,0.283237,0.412036,0.218416,0.199683,0.196447,0.59322,0.59825,0.322188
duckdb,1,,1,1 GB,3,0.305499,0.315385,0.293322,0.356768,0.298784,0.274078,0.420756,0.224029,0.202387,0.197696,0.605196,0.608219,0.329018
duckdb,1,,1,2 GB,1,0.292852,0.306272,0.288716,0.33369,0.28389,0.261448,0.410318,0.218378,0.196393,0.190191,0.576692,0.584431,0.313365
duckdb,1,,1,2 GB,2,0.30093,0.311715,0.293626,0.349602,0.288359,0.270609,0.412761,0.22068,0.195328,0.198066,0.590771,0.59017,0.32021
duckdb,1,,1,2 GB,3,0.30191,0.315402,0.29686,0.348949,0.298709,0.27354,0.418791,0.216079,0.193862,0.188154,0.577854,0.587039,0.31545
duckdb,1,,1,5 GB,1,0.293178,0.304243,0.287646,0.337801,0.283997,0.262605,0.403141,0.213726,0.192414,0.19794,0.591767,0.599046,0.319197
duckdb,1,,1,5 GB,2,0.299639,0.314824,0.305094,0.348449,0.293855,0.272587,0.420461,0.222912,0.200537,0.194544,0.596387,0.60244,0.325065
duckdb,1,,1,5 GB,3,0.298483,0.310741,0.293748,0.338263,0.288641,0.266615,0.407043,0.214683,0.193676,0.191505,0.582452,0.587673,0.320781
duckdb,1,,2,100 MB,1,0.196573,0.158722,0.147741,0.287011,0.187402,0.144589,0.238262,0.118027,0.104763,0.100695,0.381113,0.391405,0.224766
duckdb,1,,2,100 MB,2,0.199533,0.160424,0.149193,0.27527,0.185027,0.144943,0.239298,0.118362,0.104456,0.101878,0.385251,0.39015,0.222985
duckdb,1,,2,100 MB,3,0.201079,0.1614,0.151674,0.268941,0.191563,0.149076,0.234756,0.117877,0.101567,0.101823,0.369146,0.378941,0.219968
duckdb,1,,2,200 MB,1,0.177844,0.157476,0.147407,0.234827,0.156111,0.141966,0.227277,0.114997,0.101672,0.100727,0.328485,0.318439,0.172026
duckdb,1,,2,200 MB,2,0.175895,0.158819,0.161915,0.245143,0.160931,0.144136,0.232746,0.118852,0.102608,0.100754,0.336082,0.329986,0.175189
duckdb,1,,2,200 MB,3,0.18252,0.160766,0.154889,0.242461,0.159487,0.144374,0.232051,0.1178,0.103153,0.100231,0.33356,0.327052,0.176602
duckdb,1,,2,500 MB,1,0.162529,0.163033,0.15043,0.190071,0.158688,0.14422,0.222739,0.117904,0.10308,0.103664,0.319077,0.320815,0.168142
duckdb,1,,2,500 MB,2,0.159305,0.158039,0.147348,0.187707,0.157267,0.142729,0.219355,0.115149,0.100064,0.0990567,0.313945,0.321604,0.170652
duckdb,1,,2,500 MB,3,0.156708,0.15733,0.147126,0.212186,0.161703,0.142953,0.22475,0.116682,0.103397,0.100248,0.32083,0.329971,0.176237
duckdb,1,,2,1 GB,1,0.160708,0.159884,0.150754,0.2049,0.159568,0.145825,0.222116,0.116802,0.10414,0.101115,0.321367,0.327065,0.175555
duckdb,1,,2,1 GB,2,0.156743,0.16268,0.149136,0.190504,0.158679,0.143321,0.222377,0.117016,0.104468,0.101219,0.320112,0.321528,0.171277
duckdb,1,,2,1 GB,3,0.157674,0.15636,0.146734,0.186383,0.156587,0.142509,0.219398,0.115088,0.101237,0.0985828,0.312107,0.322406,0.167453
duckdb,1,,2,2 GB,1,0.159033,0.160254,0.151676,0.203409,0.166042,0.151217,0.226871,0.11956,0.104458,0.101013,0.322478,0.330229,0.176906
duckdb,1,,2,2 GB,2,0.163444,0.169795,0.152003,0.191659,0.159649,0.144169,0.225038,0.118009,0.102473,0.101189,0.319332,0.329609,0.174012
duckdb,1,,2,2 GB,3,0.160939,0.158632,0.148044,0.191612,0.162252,0.147481,0.223872,0.11845,0.104015,0.10271,0.314187,0.322033,0.170587
duckdb,1,,2,5 GB,1,0.157783,0.158432,0.146844,0.185169,0.156824,0.140821,0.217923,0.114101,0.100402,0.100255,0.313529,0.321103,0.172396
duckdb,1,,2,5 GB,2,0.158408,0.158502,0.147624,0.206326,0.161158,0.145451,0.222744,0.114929,0.104552,0.103405,0.319022,0.330065,0.172729
duckdb,1,,2,5 GB,3,0.164385,0.164044,0.15566,0.191363,0.160464,0.146832,0.225121,0.118745,0.10403,0.103803,0.321138,0.330332,0.173315
duckdb,1,,4,100 MB,1,0.113335,0.106171,0.0973519,0.1926,0.142235,0.129962,0.170795,0.0983025,0.0868443,0.0847318,0.280382,0.285765,0.172997
duckdb,1,,4,100 MB,2,0.111722,0.106809,0.0940801,0.189754,0.140422,0.12851,0.162255,0.0989444,0.083476,0.0801267,0.279822,0.288301,0.167779
duckdb,1,,4,100 MB,3,0.109576,0.104606,0.0932941,0.185995,0.136975,0.129237,0.157783,0.0970251,0.0835517,0.0809201,0.270789,0.290321,0.202753
duckdb,1,,4,200 MB,1,0.103912,0.103901,0.0992737,0.165619,0.148673,0.129584,0.162102,0.0988769,0.0813055,0.0771999,0.273693,0.287136,0.174312
